date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/19/2017,"METCON","AMRAP 10:100 Meter Run5 Air Squats5 Push Ups5 Sit Ups",6,"6","Rounds + Reps","","[{""rnds"":6,""reps"":0}]","",RX,
09/21/2017,"20 Min AMRAP","5 Burpees10 Alt Dumb Bell Push Press15 KettleBell Deadlifts",12,"12","Rounds + Reps","","[{""rnds"":12,""reps"":0}]","",RX,
09/22/2017,"Metcon","5 rounds for time:250m Row10 Med Ball Cleans (20/14)20 Russian twists (20/14)!8:00 CAP",1041,"17:21","Time","","[{""secs"":21,""mins"":17}]","",RX,
09/26/2017,"Metcon","AMRAP 15:15 Double Unders (30 Singles)10 Goblet Squats5 Push Ups",8,"8","Rounds + Reps","","[{""rnds"":8,""reps"":0}]","",RX,
09/28/2017,"Metcon","5 Rounds For Time:200m Run12 Wall Balls12 Knees to Elbows",900,"15:00","Time","","[{""secs"":0,""mins"":15}]","",SCALED,
09/29/2017,"Push & Pull","21 DB Thrusters21 Dips21 Sit Ups200m Row15 DB Thrusters15 Dips15 Sit Ups200m Row9 DB Thrusters9 Dips9 Sit Ups200m Row",760,"12:40","Time","","[{""secs"":40,""mins"":12}]","",RX,
10/03/2017,"Metcon","AMRAP 28:400 Meter Run30 Double Unders20 Russian KBS (70, 53)10 BurpeesRest 60s after each completed roundL3: (20 Double Unders) (53, 35)L2: (40 Singles) (45, 25) (8 Burpees)L1: (Run 200m) (30 Singles) (35, 35) (6 Burpees)",5,"5","Rounds + Reps","","[{""rnds"":5,""reps"":0}]","",RX,
10/05/2017,"Metcon","5 RFT:15 Hang Power Cleans15 Calories Rower15 Sit ups",900,"15:00","Time","","[{""secs"":0,""mins"":15}]","",SCALED,
10/06/2017,"Running Fran","21 Thrusters21 Pull Ups200m Run15 Thrusters15 Pull Ups200m Run9 Thrusters 9 Pull Ups200m Run",769,"12:49","Time","","[{""secs"":49,""mins"":12}]","",SCALED,
10/17/2017,"Filthy Fifty","• 50 Box jump, 24 inch box• 50 Jumping pull-ups• 50 Kettlebell swings, 1 pood• Walking Lunge, 50 steps• 50 Knees to elbows• 50 Push press, 45 pounds• 50 Back extensions• 50 Wall ball shots, 20 pound ball• 50 Burpees• 50 Double unders",2025,"33:45","Time","","[{""secs"":45,""mins"":33}]","",RX,PR
10/19/2017,"“Mono WOD”","Every 4:00 x 5 Sets:Run 400 Meters Shuttle Style(100 meter intervals)*Score = slowest SplitAlternate Scaling:500m Row, 60s Bike or Ski Erg",158,"2:38","Time","","[{""secs"":38,""mins"":2}]","",RX,
10/20/2017,"Pull x2","For time:30-20-10Calories on Rower21-15-9Deadlifts (225, 155)L3: (185, 125)L2: (155, 105)L1: (135, 95)10:00 Cap*Sub Running 400m run after each set if rowing is not a viable option.",550,"9:10","Time","","[{""secs"":10,""mins"":9}]","185 deadlift",SCALED,
10/21/2017,"Partner conditioning","QoD: What did you eat for dinner last night?With a running clock with a partner:0:00-10:00Run 1000 Meters40 Front Squats (135, 95)20 C2B Pull-upsRemaining time Max:Burpee Box Jumps (24, 20)12:00-22:00Run 1000 Meters40 Push Press (135, 95)20 C2B Pull-upsRemaining time Max:Lateral Burpees24:00-34:00Run 1000 MetersRemaining time: Max Distance Farmer Carry (70, 53)L3: (115, 75) (Regular Pull-ups)L2: (95, 65) (Band Assisted Pull-ups)L1: (75, 55) (Ring Rows)Score = total reps + distance farmer carry",361,"361","Reps","","[{""reps"":76},{""reps"":83},{""reps"":361}]","95lbs",SCALED,
10/24/2017,"Conditioning","QOD: Do you prefer sunsets or sunrises? Why?AMRAP 21:15 Russian Swings (70, 53)30 Double UndersRun 400 MetersL3: (53. 35)L2: (45, 25) (30 Double Under Attempts)L1: (35, 25) (30 Single Unders)",5.001,"5+1","Rounds + Reps","","[{""rnds"":5,""reps"":1}]","",SCALED,
10/24/2017,"Finisher","10 mins:1a) Single Leg KB RDLs x 6-8 ea. Rest 30s.1b) 1-Arm KB Row w. rotation x 6-8 ea. Rest 30s.1c) Partner Specials x 20s Max Reps. Rest 30s.Extra Credit, 10:00Accumulate:100 Reps of Glute March100 Banded Face pull-apart",35,"35","Load","","[{""success"":true,""load"":35}]","",RX,
10/27/2017,"METCON","AMRAP 10:100 Meter Run5 Air Squats5 Push Ups5 Sit Ups",9,"9","Rounds + Reps","","[{""rnds"":9,""reps"":0}]","",RX,
10/27/2017,"Strength","QOD: College Football or NFL? Whos your favorite team?1) Wide Stance Box Squat: 8 x 3 @65%, every 60s.*If you have access to bands or chains drop the load to 55%.2) Speed Conventional Deadlift against a band: 8 x 1 @65%, every 45s.",105,"105","Load","","[{""success"":true,""load"":105}]","",SCALED,
10/28/2017,"Metcon","QOD: Whats your Halloween costume going to be?AMRAP 32 w. a partner:22 Hang Power Cleans (115, 75)22 Bar Facing Burpees (24, 20)1 Mile RunRx+:(135, 95)L3: (95, 65)L2: (75, 55)L1: (65, 35) (Regular Burpees)*One Athlete works at a time.",2.006,"2+6","Rounds + Reps","","[{""rnds"":2,""reps"":6}]","75 lbs hang power clean",SCALED,
11/01/2017,"Strength","QOD: Where is your next vacation going to be????1a) Close Grip Chin-up Clusters: 4 x 2.2.2 (10s). Rest 90s.– Rest 10s between set of 2.– Adv: Use added weight– Int. Bodyweight– Beg: Partner Assisted.*All sets should be challenging1b) Close Grip Floor Press: 4 x 5. Rest 90s.– Add weight each set.",125,"125","Load","","[{""success"":true,""load"":125}]","",SCALED,
11/01/2017,"Metcon","For time:40-30-20-10Air Squats20-15-10-5Barbell Rows (115, 75)4-3-2-1Wall ClimbsRx+:(135, 95) (Strict HSPU in place of Wall Climbs)L3: (65, 35)L2: (55, 25) (Half Wall Climb)L1 Metcon:21-15-9Air SquatsRussian KBS (53, 35)Box Push-ups15:00 Cap",860,"14:20","Time","","[{""secs"":20,""mins"":14}]","85# snatch",SCALED,
11/06/2017,"Strength","QOD: What is your dream job?Power Clean Clusters: 5 x 1.1.1 (10s) @80% of Last Month 1RM. Rest 2:00– If athletes do not have a recent 1RM let them work up to one– Intermediate: All sets at a moderate weight.– Beginner: Clean Grip Deadlift: 5 x 5, adding weight each set.",95,"95","Load","","[{""success"":true,""load"":95}]","Crazy sore biceps at elbo limited weight",SCALED,
11/08/2017,"Strength","QOD: Who has made the biggest impression on your life? For the better!!!1a) Shoulder Width Grip Pull-up Clusters: 4 x 1.1.1 (10s). Rest 90s.– Rest 10s between set of 2.– Similar to last week except we are performing pull-ups this week with heavier loading/less volume.– Adv: Use added weight– Int. Bodyweight– Beg: Partner Assisted.*All sets should be challenging. Similar to last week, but done with a pronated grip.1b) DB Floor Press: 4 x 5. Rest 90s.*Or Barbell Floor Press",50,"50","Load","","[{""success"":true,""load"":50}]","",RX,
11/08/2017,"Cindy","AMRAP 20 minutes of:• 5 pull-ups• 10 push-ups• 15 squats",12.005,"12+5","Rounds + Reps","","[{""rnds"":12,""reps"":5}]","10 rounds jumping pull-ups ",SCALED,
11/10/2017,"Power Snatch 9x2","QOD: What quality do you admire most and wish you did better?Power Snatch for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 reps #7: 2 reps #8: 2 reps #9: 2 reps– Adv: Work up to 85% for a double.– Int: Perform all sets with 70-75%.– Beginner: Technique Work with light loads or an empty barbell.2) RDLs: 4 x 8-10 @moderate load. Rest 90s.",125,"125","Load","Power Snatch","[{""success"":true,""load"":65},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","",SCALED,
11/10/2017,"13.1 = Death","“Open WOD 13.1”AMRAP 17:40 Burpees30 Power Snatch (75, 45)30 Burpees30 Power Snatch (135, 75)20 Burpees30 Power Snatches (165, 100)10 BurpeesAMRAP Snatches (210, 120)– All Levels: Scale down each weight by 10-20#s– Score = total repsAlternate Beginner Workout:AMRAP 17:40 Burpees30 Deadlifts (135, 95)30 Burpees20 Deadlifts (115, 75)20 Burpees10 Deadlifts (95, 65)Compare to April 21!!",0.12,"0+120","Rounds + Reps","","[{""rnds"":0,""reps"":120}]","65 lb first snatch75 lb second snatch ",SCALED,
11/11/2017,"Partner WOD!","QOD: What makes you the happiest? Two rounds of: • 200 Double-unders• 135/95 pound Overhead squat, 50 reps• 50 Pull-ups• Run 1 mileL3: (115, 75)L2: (100 Double Under Attempts) (95, 65) (Band Assisted Pull-ups)L1: (Single Unders) (95, 65 Front Squats) (Ring Rows)Split with a partner. One person works at a time. Split work as needed. Time Cap 35:00",32,"32:47","Other / Text","","[{""other"":""32:47""}]","",SCALED,
11/13/2017,"Strength","QOD: When are you most productive? Early morning, afternoon, or evening? Why do you think that is?1) Front Box Squat: 2RM. Rest 2:00- Beginner: Work up to a challenging set of 5.- Use a 13-15"" Box2) Power Clean + Squat Clean: Work above metcon weight perform sets of 1 power clean + 1squat. Rest 60s.",175,"175","Load","","[{""success"":true,""load"":175}]","",RX,
11/13/2017,"Metcon","""Times 3""AMRAP 5:3 Squat Cleans (135, 95)6 Lateral BurpeesRest 2:00AMRAP 5:3 Power Cleans (135, 95)6 Lateral BurpeesRest 2:00AMRAP 5:3 Power Cleans3 Squat Cleans6 Lateral BurpeesL3: (115, 75)L2: (95, 65)L1: (75, 55) (Regular Burpees)Beginner Metcon:10 Goblet Squats in Place of Squat Cleans (53, 35)10 Deadlifts in Place of Power Cleans (135, 95)",9.002,"9+2","Rounds + Reps","","[{""rnds"":9,""reps"":2}]","75#",SCALED,
